139	81681	100	575	234
140	81880	140	344	225
141	82558	159	71	219
142	84253	160	344	716
143	84652	120	279	589
144	84871	239	274	598
145	85948	100	954	715
146	86486	120	326	537
147	86646	259	311	544
148	86925	120	309	538
149	87164	140	314	550
150	87323	199	306	550
151	87682	339	304	613
152	88061	140	297	621
153	88679	120	245	634
154	89138	299	239	619
155	89477	140	239	629
156	89656	140	183	670
157	89855	100	191	663
158	89975	120	190	659
159	90414	339	192	664
160	90852	100	187	675
161	91351	140	206	622
162	91949	100	265	582
163	92926	120	217	562
164	93165	160	202	523
165	93364	259	187	547
166	93743	339	325	598
167	94441	140	148	563
168	94660	339	134	558
169	95099	120	138	574
170	96235	159	197	644
171	96614	120	118	624
172	96953	179	104	625
173	98448	120	211	627
174	98628	100	217	596
175	99007	120	206	613
176	99186	120	203	608
177	99924	160	222	615
178	100283	120	325	587
179	100422	239	328	583
180	100701	180	326	590
181	101200	120	327	586
182	101339	140	319	586
183	101499	100	330	582
184	101678	100	328	589
185	102197	159	393	611
186	102695	100	492	616
187	102994	100	503	639
188	103114	159	504	607
189	103812	100	370	572
190	104011	259	420	522
191	105028	120	389	632
192	105686	100	503	633
193	105805	179	503	646
194	106284	159	388	660
195	106563	120	348	656
196	107081	160	378	652
197	107281	159	444	615
198	107580	100	447	635
199	109175	160	440	439
200	109574	100	355	586
201	109773	160	335	622
202	110690	179	448	493
203	110909	259	453	514
204	111986	478	406	476
205	113162	219	412	496
206	113481	140	465	454
207	113840	100	408	511
208	113960	219	413	501
209	114478	279	427	432
210	114817	100	314	581
211	114997	179	328	580
212	115236	120	342	582
213	115375	159	317	585
214	115595	359	318	580
215	116193	120	289	422
216	117568	180	346	513
217	118466	159	812	581
218	119243	299	967	634
219	119881	219	889	738
220	120679	279	956	698
221	121975	140	473	492
222	122134	100	499	420
223	122274	120	523	428
224	122872	140	291	542
225	123430	120	315	435
226	123630	140	544	420
227	124427	100	962	736
228	125185	120	1067	579
229	126879	100	881	649
230	127099	120	962	638
231	129252	359	960	688
232	130229	239	1073	767
233	132083	120	924	719
234	132342	120	914	747
235	135333	100	899	737
236	135712	100	910	773
237	136888	299	933	703
238	138383	100	934	805
239	138882	120	962	617
240	139241	140	969	592
241	139659	159	978	557
242	141035	100	1183	485
243	141254	159	1090	634
244	144983	199	405	402
245	146338	140	267	573
246	147036	100	305	456
247	148990	119	257	573
248	150565	140	286	543
249	150765	299	265	563
250	151223	100	267	560
251	151502	159	292	566
252	151721	140	292	562
253	151961	119	272	559
254	152160	160	293	543
255	152958	100	278	553
256	153297	140	251	571
257	153815	100	511	414
258	154034	179	260	553
259	154513	140	232	549
260	154692	140	232	553
261	154951	160	277	459
262	155390	120	280	429
263	155669	139	325	421
264	155848	100	328	441
265	156227	140	258	549
266	156387	120	252	549
267	156566	140	301	425
268	156826	140	517	438
269	157025	100	526	422
270	157244	120	566	427
271	157424	279	567	424
272	157982	259	592	427
273	158261	140	589	424
274	158660	100	609	418
275	159178	259	507	437
276	161112	120	1004	498
277	161291	279	1045	500
278	161650	219	1090	517
279	161929	100	1106	505
280	162308	120	1079	602
281	162468	120	1069	632
282	162727	140	998	571
283	162926	139	997	569
284	163844	100	969	563
285	164860	100	549	370
286	166974	179	1006	512
287	167572	120	1026	592
288	168449	159	533	399
289	168908	179	272	211
290	169187	219	96	225
291	169725	339	627	181
292	171021	179	452	380
293	171320	179	137	192
294	171519	140	110	220
295	171699	160	388	496
296	171958	200	506	424
297	176025	159	554	504
298	176424	160	354	506
299	176723	139	338	520
300	176883	100	331	539
301	177082	100	331	534
302	177720	160	415	620
303	177979	160	414	613
304	178318	139	313	607
305	179036	120	396	595
306	179494	120	452	581
307	179714	139	451	583
308	179973	179	565	512
309	180571	140	421	586
