361,147792,159,620,252
362,148131,140,618,244
363,149168,139,626,263
364,149347,159,475,242
365,152298,139,493,269
366,152557,100,296,254
367,152777,120,298,259
368,153095,100,501,230
369,153255,120,590,264
370,153415,159,575,268
371,153714,140,573,274
372,154152,140,617,268
373,154372,299,634,272
374,154691,100,639,279
375,155089,160,297,251
376,155548,279,310,266
377,155907,379,314,256
378,156485,199,103,277
379,156983,140,103,286
380,157502,120,292,275
381,158100,179,528,289
382,159595,120,472,249
383,160094,120,321,143
384,160233,180,144,179
385,160552,160,126,524
386,160752,100,156,519
387,161071,259,129,611
388,161888,259,476,268
389,162187,140,487,276
390,162347,179,488,285
391,163124,139,107,291
392,163543,100,302,287
393,163742,100,289,287
394,164360,140,139,301
395,164659,140,99,286
396,164819,319,118,298
397,165477,140,120,303
398,165875,179,297,279
399,166155,100,283,292
400,166274,120,276,283
401,166613,199,611,271
402,166832,219,622,276
403,167211,199,630,282
404,167530,180,620,288
405,167730,120,539,302
406,167929,100,544,317
407,168109,139,118,303
408,168268,179,125,296
409,168507,120,139,292
410,168667,159,140,291
411,168846,100,139,289
412,169105,219,551,309
413,169345,160,528,304
414,169544,179,531,328
415,170003,100,538,310
416,170122,100,531,319
417,170302,140,541,306
418,171438,140,145,286
419,171637,259,119,274
420,172036,339,97,248
421,172515,159,318,254
422,172714,100,318,250
423,173272,120,459,241
424,173611,100,635,249
425,173751,239,631,254
426,174189,100,625,240
427,174389,179,633,258
428,174628,100,619,253
429,174788,120,509,266
430,175286,180,121,263
431,175705,120,273,264
432,176801,100,103,303
433,177280,119,283,291
434,179034,219,297,267
435,179612,100,602,281
436,180529,100,615,265
437,182264,139,118,288
438,183181,120,284,272
439,183620,120,115,269
440,184796,239,292,222
441,185574,160,277,270
442,185873,219,542,308
443,186730,100,540,328
444,187009,120,308,266
445,187368,120,331,293
446,187647,179,499,265
447,188166,120,323,276
448,188365,120,114,559
449,188644,100,130,604
450,188843,100,111,595
451,189242,100,276,214
452,189820,139,199,242
453,190020,140,145,624
454,190379,139,141,619
455,190877,140,743,596
456,191415,120,749,623
457,191575,159,735,643
458,191954,199,735,623
459,192173,120,743,620
460,192313,419,713,642
461,192751,180,715,633
462,192951,439,713,645
463,193509,319,725,630
464,193947,239,112,616
465,194247,100,686,578
466,194605,140,117,607
467,194845,179,105,596
468,195243,239,106,610
469,195503,199,97,593
470,195802,120,114,592
471,196420,180,727,601
472,197696,140,709,608
473,197915,100,746,609
474,198035,120,743,628
475,198374,120,126,611
476,198952,179,125,609
477,199211,279,143,636
478,199869,379,137,626
479,200467,120,148,640
480,201085,140,721,590
481,201404,518,743,612
482,202341,140,172,624
483,202560,120,148,643
484,202939,279,147,660
485,203358,160,138,681
486,203557,180,140,681
487,203836,120,784,665
488,203976,140,744,664
489,204235,100,741,631
490,204455,100,742,648
491,204574,140,744,665
492,204754,259,736,665
493,205392,120,131,667
494,205531,518,100,673
495,206229,100,131,687
496,206987,100,134,268
497,207126,120,132,285
498,207365,259,142,289
499,208063,140,128,236
500,208243,359,293,226
501,208841,139,782,679
502,209040,299,732,687
503,209738,120,103,669
504,210894,239,112,256
505,211154,159,109,231
506,211532,219,113,245
507,211792,159,108,246
508,211971,538,110,261
509,212549,100,107,226
510,212669,259,116,238
511,213227,120,122,265
512,213825,339,135,283
513,214383,160,312,276
514,214722,100,296,282
515,214922,140,277,279
516,216118,100,121,662
517,216238,120,125,693
518,216477,140,95,681
519,216636,120,106,690
520,216955,100,101,690
521,217274,179,95,682
522,217474,220,95,678
523,218431,120,715,656
524,218670,319,697,668
525,219029,159,729,683
526,219268,439,761,678
527,219727,219,808,682
528,220145,259,763,683
529,220524,219,839,688
530,220843,179,781,684
531,221043,140,748,698
532,221322,120,129,695
533,221461,140,159,694
534,221621,120,161,692
535,221820,180,205,697
536,222159,159,149,708
537,222518,160,839,692
538,222697,100,763,699
539,222817,618,766,694
540,223455,359,844,695
541,223834,199,764,714
542,224312,159,159,717
543,224711,160,154,724
544,224910,159,150,728
545,225090,279,148,740
546,225409,199,184,744
547,225887,618,154,772
548,226525,140,169,774
549,226705,259,754,684
550,227124,439,775,717
551,227582,379,828,696
552,227981,479,757,704
553,228479,120,785,720
554,228619,299,774,717
555,228938,219,762,711
556,229177,179,797,711
557,229476,179,165,783
558,229675,100,162,776
559,229835,180,154,781
560,230214,140,167,755
561,230393,160,150,751
562,230593,219,158,763
563,230991,120,148,770
564,231310,100,150,790
565,231649,140,738,739
566,231809,239,763,756
567,232407,100,147,790
568,232686,179,196,796
569,232885,159,164,798
570,233165,140,168,796
571,233324,120,206,807
572,233982,140,768,757
573,234141,120,756,759
574,234281,179,731,756
575,234879,219,110,822
576,236135,459,750,733
577,236614,718,754,713
578,237451,658,762,718
579,238209,180,809,727
580,238468,120,727,730
581,238647,379,749,673
582,239166,160,826,690
583,239365,120,688,687
584,239505,538,709,699
585,240063,319,769,715
586,240502,219,800,702
587,240920,219,178,718
588,241339,140,125,665
589,241578,140,753,694
590,241837,439,764,730
591,242296,279,774,720
592,242595,140,822,710
593,243093,140,785,723
594,243692,100,821,724
595,243891,518,826,728
596,244429,638,777,729
597,245087,140,781,727
598,245406,199,816,727
599,245645,120,811,726
600,246244,120,783,742
601,246403,120,783,733
602,246563,100,817,731
603,246702,100,826,735
604,246822,100,845,730
605,247121,160,891,718
606,247500,498,776,737
607,248078,219,805,750
608,248317,239,878,748
609,248676,279,771,750
610,249453,160,187,768
611,250351,160,147,783
